[155] CTETFParticleEffect
[154] CTETFExplosion
[153] CTETFBlood
[214] CTFWeaponBuilder
[208] CTFVehicle
[205] CTFTeam
[189] CTFProjectile_Rocket
[187] CTFPlayerResource
[186] CTFPlayer
[191] CTFRagdoll
[141] CTEPlayerAnimEvent
[182] CTFObjectiveResource
[129] CTEFireBullets
[167] CTFDroppedWeapon
[158] CTFBaseDMPowerup
[157] CTFAmmoPack
[71] CObjectTeleporter
[70] CObjectSentrygun
[190] CTFProjectile_SentryRocket
[69] CObjectSapper
[67] CObjectCartDispenser
[68] CObjectDispenser
[56] CFuncRespawnRoomVisualizer
[55] CFuncRespawnRoom
[24] CCaptureZone
[227] CWeaponSpawner
[9] CBaseObject
[89] CRagdollPropAttached
[88] CRagdollProp
[224] CWaterBullet
[52] CFuncMonitor
[228] CWorld
[225] CWaterLODControl
[222] CVGuiScreen
[0] CPropJeep
[0] CPropVehicleChoreoGeneric
[156] CTEWorldDecal
[150] CTESpriteSpray
[149] CTESprite
[148] CTESparks
[147] CTESmoke
[145] CTEShowLine
[143] CTEProjectedDecal
[142] CTEPlayerDecal
[140] CTEPhysicsProp
[139] CTEParticleSystem
[138] CTEMuzzleFlash
[136] CTELargeFunnel
[135] CTEKillPlayerAttachments
[134] CTEImpact
[133] CTEGlowSprite
[144] CTEShatterSurface
[131] CTEFootprintDecal
[130] CTEFizz
[128] CTEExplosion
[127] CTEEnergySplash
[126] CTEEffectDispatch
[125] CTEDynamicLight
[123] CTEDecal
[122] CTEClientProjectile
[121] CTEBubbleTrail
[120] CTEBubbles
[119] CTEBSPDecal
[118] CTEBreakModel
[117] CTEBloodStream
[116] CTEBloodSprite
[115] CTEBeamSpline
[114] CTEBeamRingPoint
[113] CTEBeamRing
[112] CTEBeamPoints
[111] CTEBeamLaser
[110] CTEBeamFollow
[109] CTEBeamEnts
[108] CTEBeamEntPoint
[107] CTEBaseBeam
[106] CTEArmorRicochet
[137] CTEMetalSparks
[151] CTest_ProxyToggle_Networkable
[152] CTestTraceline
[146] CTesla
[105] CTeamTrainWatcher
[15] CBaseTeamObjectiveResource
[102] CTeam
[101] CSun
[100] CSteamJet
[73] CParticlePerformanceMonitor
[96] CSpotlightEnd
[229] DustTrail
[44] CFireTrail
[235] SporeTrail
[234] SporeExplosion
[232] RocketTrail
[233] SmokeTrail
[94] CSmokeStack
[93] CSlideshowDisplay
[92] CShadowControl
[91] CSceneEntity
[90] CRopeKeyframe
[87] CRagdollManager
[86] CPropVehicleDriveable
[78] CPhysicsPropMultiplayer
[76] CPhysBoxMultiplayer
[14] CBasePropDoor
[28] CDynamicProp
[83] CPointCommentaryNode
[82] CPointCamera
[81] CPlayerResource
[80] CPlasma
[79] CPhysMagnet
[77] CPhysicsProp
[75] CPhysBox
[74] CParticleSystem
[231] ParticleSmokeGrenade
[72] CParticleFire
[230] MovieExplosion
[66] CMaterialModifyControl
[65] CLightGlow
[64] CInfoOverlayAccessor
[132] CTEGaussExplosion
[59] CFuncTrackTrain
[58] CFuncSmokeVolume
[57] CFuncRotating
[54] CFuncReflectiveGlass
[53] CFuncOccluder
[48] CFunc_LOD
[124] CTEDust
[47] CFunc_Dust
[50] CFuncConveyor
[21] CBreakableSurface
[49] CFuncAreaPortalWindow
[45] CFish
[33] CEntityFlame
[43] CFireSmoke
[41] CEnvTonemapController
[39] CEnvScreenEffect
[40] CEnvScreenOverlay
[37] CEnvProjectedTexture
[36] CEnvParticleScript
[46] CFogController
[34] CEntityParticleTrail
[32] CEntityDissolve
[38] CEnvQuadraticBeam
[31] CEmbers
[42] CEnvWind
[85] CPrecipitation
[27] CDynamicLight
[26] CColorCorrectionVolume
[25] CColorCorrection
[20] CBreakableProp
[16] CBaseTempEntity
[12] CBasePlayer
[7] CBaseFlex
[6] CBaseEntity
[5] CBaseDoor
[3] CBaseCombatCharacter
[2] CBaseAnimatingOverlay
[19] CBoneFollower
[1] CBaseAnimating
[63] CInfoLightingRelative
[0] CAI_BaseNPC
[220] CTFWearable
[221] CTFWrench
[207] CTFUmbrella
[206] CTFTranq
[204] CTFSyringeGun
[95] CSniperDot
[203] CTFSniperRifle
[202] CTFSMG_Primary
[201] CTFSMG
[200] CTFShovel
[195] CTFScatterGun
[198] CTFShotgun_Pyro
[197] CTFShotgun_HWG
[199] CTFShotgun_Soldier
[196] CTFShotgun
[194] CTFRocketLauncher
[193] CTFRevolver_Secondary
[192] CTFRevolver
[185] CTFPistol_Scout
[184] CTFPistol
[183] CTFPipebombLauncher
[219] CTFWeaponPDA_Spy
[218] CTFWeaponPDA_Engineer_Destroy
[217] CTFWeaponPDA_Engineer_Build
[216] CTFWeaponPDA
[181] CTFNailgun
[180] CTFMinigun
[226] CWeaponMedigun
[179] CTFKnife
[215] CTFWeaponInvis
[177] CTFHunterRifle
[176] CTFHeavyArtillery
[175] CTFHammerfists
[174] CTFGrenadePipebombProjectile
[173] CTFGrenadeLauncher
[171] CTFFlareGun
[170] CTFFlameThrower
[169] CTFFists
[168] CTFFireAxe
[166] CTFCrowbar
[165] CTFClub
[164] CTFChainsaw
[163] CTFBottle
[162] CTFBonesaw
[161] CTFBat
[160] CTFBaseRocket
[213] CTFWeaponBaseMelee
[212] CTFWeaponBaseGun
[211] CTFWeaponBaseGrenadeProj
[210] CTFWeaponBase
[209] CTFViewModel
[188] CTFProjectile_Flare
[159] CTFBaseProjectile
[10] CBaseObjectUpgrade
[178] CTFItem
[172] CTFGameRulesProxy
[23] CCaptureFlagReturnIcon
[22] CCaptureFlag
[61] CHandleTest
[104] CTeamRoundTimer
[103] CTeamplayRoundBasedRulesProxy
[99] CSpriteTrail
[98] CSpriteOriented
[97] CSprite
[84] CPoseController
[60] CGameRulesProxy
[62] CInfoLadderDismount
[51] CFuncLadder
[35] CEnvDetailController
[30] CEconWearable
[29] CEconEntity
[18] CBeam
[17] CBaseViewModel
[13] CBaseProjectile
[11] CBaseParticleEntity
[8] CBaseGrenade
[4] CBaseCombatWeapon
[223] CVoteController
